weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,wind.gust,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,rain.1h,message,snow.1h
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1641817078.0,-18000.0,5282297.0,Bethel,200,-73.414,41.3712,25.72,25.72,21.94,29.48,1016.0,60.0,1.01,334.0,10.0,0.0,2.0,2004826.0,US,1641817139.0,1641850979.0,,,,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,10000.0,1641817080.0,7200.0,986717.0,Kruisfontein,200,24.7314,-34.0033,83.82,84.31,83.82,83.82,1005.0,47.0,12.08,224.0,10.78,67.0,,,ZA,1641784837.0,1641836158.0,1005.0,980.0,0.18,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1641817082.0,28800.0,2036892.0,Hohhot,200,111.6522,40.8106,12.49,4.86,12.49,12.49,1023.0,52.0,4.47,130.0,,0.0,1.0,9612.0,CN,1641772632.0,1641806630.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1641817083.0,-10800.0,3407762.0,Amapá,200,-52.0,1.0,77.86,79.02,77.86,77.86,1014.0,78.0,2.46,10.0,5.17,98.0,,,BR,1641807200.0,1641850636.0,1014.0,998.0,,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1641817086.0,-25200.0,5546220.0,Saint George,200,-113.5841,37.1041,30.79,30.79,30.79,45.07,1036.0,69.0,0.0,0.0,,0.0,1.0,5832.0,US,1641826073.0,1641861332.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1641817087.0,39600.0,2155415.0,New Norfolk,200,147.0587,-42.7826,56.28,54.75,54.75,58.5,1023.0,67.0,1.79,114.0,2.71,90.0,2.0,2031307.0,AU,1641753937.0,1641808324.0,,,,,
"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",stations,10000.0,1641817088.0,25200.0,1649150.0,Bengkulu,200,102.2655,-3.8004,80.38,84.74,80.38,80.38,1009.0,78.0,3.22,321.0,4.27,98.0,,,ID,1641769699.0,1641814069.0,1009.0,1007.0,2.37,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1641817089.0,37800.0,2173911.0,Broken Hill,200,141.4333,-31.95,90.63,86.49,90.63,90.63,1010.0,14.0,8.55,224.0,9.15,26.0,,,AU,1641757112.0,1641807850.0,1010.0,976.0,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1641817090.0,3600.0,3139597.0,Sistranda,200,8.834,63.7256,30.16,20.25,30.16,30.16,1017.0,67.0,12.53,133.0,12.71,14.0,1.0,1647.0,NO,1641805055.0,1641823573.0,1017.0,1016.0,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1641817092.0,18000.0,161616.0,Balkanabat,200,54.3671,39.5108,57.31,54.48,57.31,57.31,1016.0,37.0,7.34,80.0,9.66,1.0,,,TM,1641786156.0,1641820610.0,1016.0,1015.0,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1641817093.0,-10800.0,3395458.0,Maragogi,200,-35.2225,-9.0122,84.2,89.01,84.2,84.2,1013.0,64.0,9.98,98.0,11.3,44.0,,,BR,1641802193.0,1641847588.0,1013.0,1012.0,,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1641817098.0,10800.0,64814.0,Bandarbeyla,200,50.8122,9.4942,78.53,78.82,78.53,78.53,1013.0,58.0,19.01,43.0,20.51,21.0,,,SO,1641783347.0,1641825125.0,1013.0,1011.0,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1641817099.0,28800.0,1637001.0,Luwuk,200,122.7875,-0.9516,78.85,78.85,78.85,78.85,1011.0,87.0,2.24,333.0,2.82,83.0,,,ID,1641765050.0,1641808865.0,1011.0,1008.0,,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1641817100.0,43200.0,2110227.0,Butaritari,200,172.7902,3.0707,81.39,86.92,81.39,81.39,1011.0,78.0,17.49,60.0,19.19,83.0,,,KI,1641839859.0,1641882896.0,1011.0,1010.0,0.36,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1641817101.0,25200.0,2022572.0,Khatanga,200,102.5,71.9667,-8.25,-20.04,-8.25,-8.25,1011.0,100.0,4.9,215.0,4.61,91.0,,,RU,0.0,0.0,1011.0,1007.0,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1641817103.0,43200.0,2120591.0,Tilichiki,200,166.1,60.4667,-10.05,-22.65,-10.05,-10.05,1017.0,93.0,8.81,5.0,11.52,9.0,,,RU,1641851614.0,1641874353.0,1017.0,989.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,3766.0,1641817104.0,43200.0,2122090.0,Pevek,200,170.3133,69.7008,-10.03,-18.22,-10.03,-10.03,1028.0,97.0,3.0,235.0,3.78,100.0,,,RU,0.0,0.0,1028.0,1021.0,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1641817105.0,-21600.0,3652764.0,Puerto Ayora,200,-90.3518,-0.7393,71.2,72.45,71.2,71.2,1013.0,94.0,5.01,161.0,7.4,53.0,,,EC,1641816239.0,1641860011.0,1013.0,1007.0,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1641817106.0,32400.0,2110560.0,Yamada,200,141.95,39.4667,30.61,25.27,30.61,30.61,1021.0,79.0,5.19,275.0,4.68,53.0,,,JP,1641765131.0,1641799583.0,1021.0,1021.0,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1641817108.0,10800.0,110690.0,Faya,200,42.4509,18.3851,66.72,65.73,66.72,68.11,1013.0,56.0,10.65,239.0,10.69,11.0,1.0,7396.0,SA,1641786266.0,1641826221.0,1013.0,788.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1641817109.0,28800.0,1813206.0,Daye,200,114.95,30.0833,47.55,45.09,47.55,47.55,1027.0,73.0,5.41,321.0,8.39,100.0,,,CN,1641770234.0,1641807444.0,1027.0,1023.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,6122.0,1641817110.0,-10800.0,3466704.0,Castro,200,-50.0119,-24.7911,59.97,60.19,59.97,59.97,1014.0,96.0,3.76,142.0,7.7,99.0,,,BR,1641804026.0,1641852856.0,1014.0,903.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1641817111.0,-28800.0,5356012.0,Healdsburg,200,-122.8692,38.6105,45.79,45.79,42.64,52.16,1027.0,84.0,0.0,0.0,,100.0,2.0,2004738.0,US,1641828539.0,1641863324.0,,,,,
"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,10000.0,1641817113.0,-10800.0,3874787.0,Punta Arenas,200,-70.9167,-53.15,53.42,51.57,51.82,53.71,984.0,66.0,33.38,290.0,,40.0,1.0,8487.0,CL,1641803630.0,1641863288.0,,,1.26,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1641817114.0,28800.0,1280037.0,Shache,200,77.2406,38.4167,31.05,25.0,31.05,31.05,1028.0,37.0,6.13,100.0,5.95,95.0,,,CN,1641780487.0,1641815296.0,1028.0,883.0,,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,
