weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.country,sys.sunrise,sys.sunset,sys.type,sys.id,message,rain.1h,snow.1h
,,,,,,,404,,,,,,,,,,,,,,,,,,,,city not found,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627669524.0,43200.0,4031637.0,Lavrentiya,200,-171.0,65.5833,279.8,278.64,279.8,279.8,1006.0,91.0,1006.0,1005.0,1.8,163.0,2.57,72.0,RU,1627740814.0,1627807619.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627669524.0,-7200.0,3421719.0,Narsaq,200,-46.05,60.9167,291.27,290.21,291.27,291.27,1004.0,41.0,1004.0,1001.0,6.69,68.0,11.79,100.0,GL,1627626851.0,1627688813.0,1.0,47.0,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1627669524.0,7200.0,964432.0,Port Alfred,200,26.891,-33.5906,288.14,287.63,288.14,288.14,1030.0,74.0,1030.0,1028.0,2.51,32.0,2.54,16.0,ZA,1627621546.0,1627659107.0,,,,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,city not found,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627669524.0,28800.0,6620339.0,Karratha,200,116.8463,-20.7377,293.39,293.48,293.39,293.39,1015.0,77.0,1015.0,1013.0,4.31,242.0,7.63,0.0,AU,1627685036.0,1627725236.0,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627669524.0,-10800.0,3443061.0,Chui,200,-53.4616,-33.6971,285.63,284.37,285.63,285.63,1028.0,55.0,1028.0,1025.0,2.95,342.0,3.95,0.0,UY,1627640833.0,1627678389.0,,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1627669524.0,3600.0,3347019.0,Mossamedes,200,12.1522,-15.1961,293.03,293.45,293.03,293.03,1016.0,91.0,1016.0,1014.0,2.13,305.0,2.37,16.0,AO,1627623294.0,1627664433.0,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627669525.0,-25200.0,5969025.0,Haines Junction,200,-137.5108,60.7522,290.12,289.2,290.12,290.12,1022.0,51.0,,,0.51,350.0,,0.0,CA,1627648913.0,1627710651.0,1.0,287.0,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1627669525.0,-21600.0,4021858.0,Guerrero Negro,200,-114.0611,27.9769,300.4,301.32,300.4,300.4,1012.0,57.0,1012.0,1012.0,3.94,320.0,2.81,16.0,MX,1627649872.0,1627698436.0,,,,,
