weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,wind.gust,message,rain.1h
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627749761.0,19800.0,1276355.0,Bhādāsar,200,74.3167,28.2833,88.32,98.87,88.32,88.32,999.0,66.0,11.65,128.0,65.0,,,IN,1627691045.0,1627739640.0,999.0,970.0,11.97,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627749763.0,14400.0,286245.0,Sur,200,59.5289,22.5667,91.47,100.22,91.47,91.47,1000.0,55.0,14.45,211.0,72.0,,,OM,1627695171.0,1627742612.0,1000.0,999.0,19.01,,
"[{'id': 211, 'main': 'Thunderstorm', 'description': 'thunderstorm', 'icon': '11d'}]",stations,8000.0,1627749764.0,3600.0,2470483.0,Hergla,200,10.509,36.0303,92.39,100.53,91.26,100.26,1009.0,52.0,8.05,70.0,40.0,1.0,1212.0,TN,1627705463.0,1627755849.0,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627749765.0,-10800.0,3443061.0,Chui,200,-53.4616,-33.6971,56.73,54.97,56.73,56.73,1029.0,61.0,6.78,15.0,0.0,,,UY,1627727186.0,1627764831.0,1029.0,1027.0,10.11,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,city not found,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627749767.0,0.0,2630299.0,Hofn,200,-15.2082,64.2539,48.56,44.08,48.56,48.56,1015.0,87.0,10.51,215.0,45.0,,,IS,1627704233.0,1627769423.0,1015.0,1015.0,8.84,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1627749769.0,32400.0,1651810.0,Airai,200,125.4092,-8.9266,57.49,57.25,57.49,57.49,1014.0,92.0,3.02,113.0,27.0,,,TL,1627768370.0,1627810586.0,1014.0,858.0,4.32,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627749770.0,36000.0,2163355.0,Hobart,200,147.3294,-42.8794,47.8,47.8,45.1,49.86,995.0,74.0,1.99,0.0,100.0,2.0,2002195.0,AU,1627766550.0,1627801884.0,,,5.01,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1627749771.0,14400.0,934322.0,Mahébourg,200,57.7,-20.4081,70.09,70.47,70.09,70.25,1026.0,78.0,12.66,130.0,40.0,1.0,2061.0,MU,1627699197.0,1627739464.0,,,24.16,,0.13
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627749772.0,3600.0,2392087.0,Porto-Novo,200,2.6036,6.4965,84.02,90.52,84.02,84.02,1013.0,70.0,10.29,206.0,38.0,1.0,1119.0,BJ,1627710226.0,1627754880.0,1013.0,1011.0,13.31,,
